"","Unique Sample Identifier","Sampling Location","Matrix","Sediment type","Depth Sample (m)","Sampling Location specific","Mean slope","Depth river","Active overflow","Nearby vegetation","NaturalBank","width","meandering","Outside_insideBend","shortest distance from shore","radius (degree)","radius (km)","area (km²)","RWZI [nr]","Waste facilities [nr]","agriculture [km²]","industry  [km²]","transport  [km²]","urban  [km²]","water  [km²]","nature  [km²]","recreation  [km²]","waste  [km²]","human foot print","ecotope","pixels at flood risk","km² at flood risk","% buffer at flood risk","total flooding depth in buffer","average flooding depth in buffer","pop20","pop22","pop21","Pop_AVG","pop_dens","tot_precip","mean_temp","mean_windspeed","mean_winddirection","mean_pressure","mean_cloudiness","tot_precip_mean","mean_temp_mean","mean_windspeed_mean","mean_winddirection_mean","mean_pressure_mean","mean_cloudiness_mean","tot_precip_TOT"
"21","MAC_W_099","Port of Oostende (B)","Water","NA",1,"Ostend (B)",0.350893299484996,NA,0,"No","No",42.056,"No",NA,88.881,0.025,2.18509686118416,15,0,0,0.065,3.067,0.385,5.525,5.48,0.068,0.418,0,28.6181818181818,"Antropogeen",1,0.01278,0.000337403115151392,0.100000001490116,0.100000001490116,NA,NA,NA,NA,18379,0,13.5318181818182,1.81818181818181,170.47619047619,1022.00909090909,2.81818181818182,0,12.011994949495,2.70328282828283,165.376121463078,1026.62108585858,2.14772727272727,0
"22","MIC_W_029","River Scheldt (Wintam)","Water","NA",1,"Wintam",0.578952432274277,1182,4,"Yes","Yes",162.84,"Yes","Middle",62.325,0.025,2.18509686118416,15,0,2,4.883,0.85,0,3.525,2.832,2.956,0,0,37.4145569620253,"Diep Subtidaal",550,7.029,0.185571713333265,1098.52699995786,1.9973218181052,NA,NA,NA,NA,14223,0,9.71818181818182,3.54545454545454,54.0909090909091,1021.05909090908,6.54545454545455,0,9.7021958717611,3.44812252964426,71.6897233201581,1017.24656895037,6.21870882740448,0
"23","MIC_W_030","River Scheldt (Wintam)","Water","NA",1,"Wintam",0.578952432274277,1182,4,"Yes","Yes",162.84,"Yes","Middle",62.325,0.025,2.18509686118416,15,0,2,4.883,0.85,0,3.525,2.832,2.956,0,0,37.4145569620253,"Diep Subtidaal",550,7.029,0.185571713333265,1098.52699995786,1.9973218181052,NA,NA,NA,NA,14223,0,9.71818181818182,3.54545454545454,54.0909090909091,1021.05909090908,6.54545454545455,0,9.7021958717611,3.44812252964426,71.6897233201581,1017.24656895037,6.21870882740448,0
"24","MIC_W_031","River Scheldt (Wintam)","Water","NA",1,"Wintam",0.578952432274277,1182,4,"Yes","Yes",162.84,"Yes","Middle",62.325,0.025,2.18509686118416,15,0,2,4.883,0.85,0,3.525,2.832,2.956,0,0,37.4145569620253,"Diep Subtidaal",550,7.029,0.185571713333265,1098.52699995786,1.9973218181052,NA,NA,NA,NA,14223,0,9.71818181818182,3.54545454545454,54.0909090909091,1021.05909090908,6.54545454545455,0,9.7021958717611,3.44812252964426,71.6897233201581,1017.24656895037,6.21870882740448,0
"25","MIC_W_032","River Scheldt (Wintam)","Water","NA",1,"Wintam",0.578952432274277,1182,4,"Yes","Yes",162.84,"Yes","Middle",62.325,0.025,2.18509686118416,15,0,2,4.883,0.85,0,3.525,2.832,2.956,0,0,37.4145569620253,"Diep Subtidaal",550,7.029,0.185571713333265,1098.52699995786,1.9973218181052,NA,NA,NA,NA,14223,0,9.71818181818182,3.54545454545454,54.0909090909091,1021.05909090908,6.54545454545455,0,9.7021958717611,3.44812252964426,71.6897233201581,1017.24656895037,6.21870882740448,0
"26","MIC_W_033","River Scheldt (Wintam)","Water","NA",1,"Wintam",0.578952432274277,1182,4,"Yes","Yes",162.84,"Yes","Middle",62.325,0.025,2.18509686118416,15,0,2,4.883,0.85,0,3.525,2.832,2.956,0,0,37.4145569620253,"Diep Subtidaal",550,7.029,0.185571713333265,1098.52699995786,1.9973218181052,NA,NA,NA,NA,14223,0,9.71818181818182,3.54545454545454,54.0909090909091,1021.05909090908,6.54545454545455,0,9.7021958717611,3.44812252964426,71.6897233201581,1017.24656895037,6.21870882740448,0
"27","MAC_W_057","Port of Nieuwpoort (B)","Water","NA",1,"Nieuwpoort (B)",0.415132728478322,NA,0,"No","No",13.162,"No",NA,61.83,0.025,2.18509686118416,15,0,0,3.941,1.458,0,4.374,2.709,1.141,1.413,0,47.25,"Antropogeen",NA,0,0,NA,NA,NA,NA,NA,NA,4439,10,15.85,4.75,204.166666666667,1002.93333333333,6.625,3.46666666666667,14.6819444444445,3,211.342775581906,1010.28055555555,3,10.4
"28","MAC_W_058","Port of Nieuwpoort (B)","Water","NA",1,"Nieuwpoort (B)",0.415132728478322,NA,0,"No","No",13.162,"No",NA,61.83,0.025,2.18509686118416,15,0,0,3.941,1.458,0,4.374,2.709,1.141,1.413,0,47.25,"Antropogeen",NA,0,0,NA,NA,NA,NA,NA,NA,4439,10,15.85,4.75,204.166666666667,1002.93333333333,6.625,3.46666666666667,14.6819444444445,3,211.342775581906,1010.28055555555,3,10.4
"29","MAC_W_059","Port of Nieuwpoort (B)","Water","NA",1,"Nieuwpoort (B)",0.415132728478322,NA,0,"No","No",13.162,"No",NA,61.83,0.025,2.18509686118416,15,0,0,3.941,1.458,0,4.374,2.709,1.141,1.413,0,47.25,"Antropogeen",NA,0,0,NA,NA,NA,NA,NA,NA,4439,10,15.85,4.75,204.166666666667,1002.93333333333,6.625,3.46666666666667,14.6819444444445,3,211.342775581906,1010.28055555555,3,10.4
"30","MAC_W_060","Port of Nieuwpoort (B)","Water","NA",1,"Nieuwpoort (B)",0.415132728478322,NA,0,"No","No",13.162,"No",NA,61.83,0.025,2.18509686118416,15,0,0,3.941,1.458,0,4.374,2.709,1.141,1.413,0,47.25,"Antropogeen",NA,0,0,NA,NA,NA,NA,NA,NA,4439,10,15.85,4.75,204.166666666667,1002.93333333333,6.625,3.46666666666667,14.6819444444445,3,211.342775581906,1010.28055555555,3,10.4
