"","X","...1","Unique.Sample.Identifier","Sampling.Location","Matrix","Sediment.type","Depth.Sample..m.","Sampling.Location.specific","Mean.slope","Depth.river","Active.overflow","Nearby.vegetation","NaturalBank","width","meandering","Outside_insideBend","shortest.distance.from.shore","radius..degree.","radius..km.","area..km..","RWZI..nr.","Waste.facilities..nr.","agriculture..km..","industry...km..","transport...km..","urban...km..","water...km..","nature...km..","recreation...km..","waste...km..","human.foot.print","ecotope","pixels.at.flood.risk","km..at.flood.risk","X..buffer.at.flood.risk","total.flooding.depth.in.buffer","average.flooding.depth.in.buffer","pop20","pop22","pop21","Pop_AVG","pop_dens","tot_precip","mean_temp","mean_windspeed","mean_winddirection","mean_pressure","mean_cloudiness","tot_precip_mean","mean_temp_mean","mean_windspeed_mean","mean_winddirection_mean","mean_pressure_mean","mean_cloudiness_mean","tot_precip_TOT","Proximity_sea","Port_river","Natural_NonNatural","TotalPointDischarge","PointDischarge","PopulationDensity","HFP","Date","Season"
"32",32,163,"MAC_S_033","Port of Nieuwpoort (C)","Sediment","Sludge",4,"Nieuwpoort (C)",0.324895425986018,NA,1,"No","No",20.61,"No",NA,96.6,0.025,2.18509686118416,15,0,1,5.45,1.543,0.223,3.562,1.066,0.443,1.374,0,41.8,"Antropogeen",NA,0,0,NA,NA,NA,NA,NA,NA,4967,0,11.6,6,192.916666666667,1019.65,4.25,2.63333333333333,10.9458333333333,6.41666666666667,214.027777777778,1018.88472222222,5.83333333333333,7.9,"Coastal","Port","Low natural",2,"Moderate","Low","High","2020-11-18","Autumn"
"33",33,164,"MAC_S_034","Port of Antwerp (Schelde Rijn kanaal)","Sediment","Sludge",6,"Schelde Rijn kanaal",0.176334851429806,NA,0,"No","No",322.285,"No",NA,27.459,0.025,2.18509686118416,15,0,0,6.489,1.668,1.179,1.726,2.279,1.34,0,0.284,30.7870150435471,"Antropogeen",0,0,0,0,NA,NA,NA,NA,NA,31646,5.5,8.93478260869565,5.45008695652173,270.195652173913,1023.73043478261,NA,1.96666666666667,11.4213164251208,5.99725120772946,220.366606280193,1022.67125603865,NA,5.9,"Inland","Port","Low natural",0,"Low","High","Moderate","2020-11-19","Autumn"
"34",34,165,"MAC_S_035","Port of Antwerp (Kanaaldok)","Sediment","Sludge",4,"Kanaaldok",0.0381474224480696,217,0,"No","No",402.531,"No",NA,45.849,0.025,2.18509686118416,15,1,0,0,6.619,1.913,0.224,4.565,0.606,0,1.055,31.5893141945774,"Antropogeen",12,0.15336,0.0040488373818167,9.71499997377396,0.80958333114783,NA,NA,NA,NA,37507,5.5,8.93478260869565,5.45008695652173,270.195652173913,1023.73043478261,NA,1.96666666666667,11.4213164251208,5.99725120772946,220.366606280193,1022.67125603865,NA,5.9,"Inland","Port","Moderate natural",1,"Low","High","Moderate","2020-11-19","Autumn"
"35",35,166,"MAC_S_037","River Scheldt (Doel)","Sediment","Sludge",10,"Doel",0.0374158921544889,843,0,"Yes","Yes",1245.45,"Yes","Middle",431.8,0.025,2.18509686118416,15,0,0,1.265,4.679,0.765,0.513,6.426,1.332,0,0,30.9240506329114,"Diep Subtidaal",146,1.86588,0.0492608548121032,228.88799649477,1.56772600338884,NA,NA,NA,NA,24178,0,9.52083333333333,3.46974999999999,163.445833333333,1019.84166666667,NA,0.133333333333333,9.59166666666665,2.34124999999999,191.647295321637,1019.625,NA,0.4,"Inland","River","Highly Natural",0,"Low","Moderate","Moderate","2021-04-21","Spring"
"36",36,167,"MAC_S_038","River Scheldt (Antwerpen)","Sediment","Sand",7,"Antwerp",0.470055991739951,578,4,"No","No",440.237,"Yes","Middle",177.35,0.025,2.18509686118416,15,1,4,0,2.523,1.66,6.144,2.503,2.185,0.001,0,20.9269841269841,"Diep Subtidaal",111,1.41858,0.0374517457818045,381.646991938353,3.43826118863381,NA,NA,NA,NA,38844,0,16.8818181818182,4.68181818181817,336.363636363635,1017.28181818182,6.68181818181817,0,17.1425505050505,3.74116161616161,176.499231444883,1022.62171717172,3.29671717171717,0,"Inland","River","Moderate natural",9,"High","High","Moderate","2021-08-26","Summer"
"37",37,168,"MAC_S_039","Port of Oostende (B)","Sediment","Sludge",7,"Ostend (B)",0.350893299484996,NA,0,"No","No",42.056,"No",NA,88.881,0.025,2.18509686118416,15,0,0,0.065,3.067,0.385,5.525,5.48,0.068,0.418,0,28.6181818181818,"Antropogeen",1,0.01278,0.00033740311515139,0.100000001490116,0.100000001490116,NA,NA,NA,NA,18379,0,8.29583333333333,4.66666666666666,72.5,1010.37083333333,3.54166666666667,0,7.52916666666667,6.12499999999999,55,1019.46944444444,3,0,"Coastal","Port","Moderate natural",0,"Low","Moderate","Moderate","2021-04-27","Spring"
"38",38,169,"MAC_S_040","Port of Nieuwpoort (A)","Sediment","Sand",4.5,"Nieuwpoort (A)",0.59815727776823,NA,2,"No","No",109.485,"No",NA,25.323,0.025,2.18509686118416,15,0,0,1.068,0.408,0,2.138,9.052,1.397,0.971,0,59.6842105263158,"Antropogeen",NA,0,0,NA,NA,NA,NA,NA,NA,2278,0,13.5041666666667,1.875,233.043478260869,1011,1.83333333333332,0.433333333333333,15.1583333333334,3,158.426108915239,1015.10555555555,1.79166666666666,1.3,"Coastal","Port","Highly Natural",2,"Moderate","Low","High","2020-09-22","Autumn"
"39",39,170,"MAC_S_041","Port of Nieuwpoort (B)","Sediment","Sludge",4,"Nieuwpoort (B)",0.415132728478322,NA,0,"No","No",13.162,"No",NA,61.83,0.025,2.18509686118416,15,0,0,3.941,1.458,0,4.374,2.709,1.141,1.413,0,47.25,"Antropogeen",NA,0,0,NA,NA,NA,NA,NA,NA,4439,0,13.5041666666667,1.875,233.043478260869,1011,1.83333333333332,0.433333333333333,15.1583333333334,3,158.426108915239,1015.10555555555,1.79166666666666,1.3,"Coastal","Port","Low natural",0,"Low","Low","High","2020-09-22","Autumn"
"40",40,171,"MAC_S_042","Port of Nieuwpoort (C)","Sediment","Sludge",1,"Nieuwpoort (C)",0.324895425986018,NA,1,"No","No",20.61,"No",NA,96.6,0.025,2.18509686118416,15,0,1,5.45,1.543,0.223,3.562,1.066,0.443,1.374,0,41.8,"Antropogeen",NA,0,0,NA,NA,NA,NA,NA,NA,4967,0,13.5041666666667,1.875,233.043478260869,1011,1.83333333333332,0.433333333333333,15.1583333333334,3,158.426108915239,1015.10555555555,1.79166666666666,1.3,"Coastal","Port","Low natural",2,"Moderate","Low","High","2020-09-22","Autumn"
"41",41,172,"MAC_S_043","Port of Oostende (A)","Sediment","Sludge",9,"Ostend (A)",0.37946545682972,NA,0,"No","No",18.64,"No",NA,502.047,0.025,2.18509686118416,15,0,0,0,2.009,0.208,3.826,8.503,0.004,0.457,0,38.55,"Antropogeen",NA,0,0,NA,NA,NA,NA,NA,NA,12185,32.1,12.3727272727273,6.31818181818182,209.545454545454,999.595454545455,4.68181818181817,14.0333333333333,13.9089646464647,4.31439393939394,215.58519982433,1004.5095959596,4.3800505050505,42.1,"Coastal","Port","Moderate natural",0,"Low","Moderate","Moderate","2020-09-24","Autumn"
