"","X.1","X","Code.Campaign","Date","Sampling.Location","Unique.Sample.Identifier","Sample.Type","Matrix","Volume..L.","DW..Sediment..kg.","Particle.count","Total.plastic.mass..kg.","Concentration..g.plastic.L.water.","Concentration..g.plastic.kg.dry.weight.sediment.","Sediment.type","Depth.Sample..m.","T1..START.","T2..STOP.","Tide","Unique.Particle.Identifier","Replicate..sediment.","Polymer","Match","Lenght..mm.","Width..mm.","Maximal.dimension..mm.","Weight..mg.","Color","Shape_obs","Sampling.Area","Type.of.Campaign","Sampling.Location.specific","Sampling.Area.general","LengthWidthratio","estimated.Hight..mm.","CSF","Shape_est","SizeClass","Transpar_NERC","Color_NERC","Color_NERC_Interreg","Shape_NERC","Shape_tot","Polymer_NERC","Diff_Time","T2..STOP..1","Diff_time"
"45",31828,31828,"SH_21_01a","2021-01-27","River Scheldt (Doel)","MAC_S_047","Macroplastics (> 5 mm)","Sediment",NA,0.50854,0,0,NA,0,"Sludge+sand",12,"1899-12-31 06:30:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"River Scheldt","Spotsampling","Doel","River Scheldt (Downstream)",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
"46",31829,31829,"SH_21_01a","2021-01-27","River Scheldt (Antwerpen)","MAC_S_048","Macroplastics (> 5 mm)","Sediment",NA,0.757449,0,0,NA,0,"Sand",6,"1899-12-31 10:50:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"River Scheldt","Spotsampling","Antwerp","River Scheldt (Upstream)",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
"47",31830,31830,"OS_21_03","2021-04-27","Port of Oostende (A)","MAC_S_049","Macroplastics (> 5 mm)","Sediment",NA,0.567738,0,0,NA,0,"Sludge",4,"1899-12-31 09:55:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Port of Oostende","Spotsampling","Ostend (A)","Port of Ostend",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
"48",31831,31831,"OS_21_03","2021-04-27","Port of Oostende (B)","MAC_S_050","Macroplastics (> 5 mm)","Sediment",NA,0.83462,0,0,NA,0,"Sludge",6,"1899-12-31 09:45:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Port of Oostende","Spotsampling","Ostend (B)","Port of Ostend",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
"49",31832,31832,"OS_21_03","2021-04-27","Port of Oostende (C)","MAC_S_051","Macroplastics (> 5 mm)","Sediment",NA,0.673291,0,0,NA,0,"Sludge",6,"1899-12-31 11:05:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Port of Oostende","Spotsampling","Ostend (C)","Port of Ostend",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
"50",31833,31833,"NP_21_02","2021-04-28","Port of Nieuwpoort (A)","MAC_S_052","Macroplastics (> 5 mm)","Sediment",NA,0.833002,0,0,NA,0,"Sand",9,"1899-12-31 10:30:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Port of Nieuwpoort","Spotsampling","Nieuwpoort (A)","Port of Nieuwpoort",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
"51",31834,31834,"NP_21_02","2021-04-28","Port of Nieuwpoort (B)","MAC_S_053","Macroplastics (> 5 mm)","Sediment",NA,0.76629,0,0,NA,0,"Sludge+sand",6,"1899-12-31 11:20:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Port of Nieuwpoort","Spotsampling","Nieuwpoort (B)","Port of Nieuwpoort",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
"52",31835,31835,"NP_21_02","2021-04-28","Port of Nieuwpoort (C)","MAC_S_054","Macroplastics (> 5 mm)","Sediment",NA,0.540987,0,0,NA,0,"Sludge",7,"1899-12-31 11:45:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Port of Nieuwpoort","Spotsampling","Nieuwpoort (C)","Port of Nieuwpoort",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
"53",31836,31836,"NP_21_03a","2021-06-28","Port of Nieuwpoort (A)","MAC_S_055","Macroplastics (> 5 mm)","Sediment",NA,0.97217,0,0,NA,0,"Sand",10,"1899-12-31 11:55:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Port of Nieuwpoort","Spotsampling","Nieuwpoort (A)","Port of Nieuwpoort",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
"54",31837,31837,"NP_21_03a","2021-06-28","Port of Nieuwpoort (B)","MAC_S_056","Macroplastics (> 5 mm)","Sediment",NA,0.46724,1,0.00000069,NA,0.00000147676,"Sludge",7,"1899-12-31 12:36:00",NA,NA,"MAC_S_056_1",NA,"Polyethyleen",92.54,6.35,2.22,6.35,0.69,"WHITE","Foil","Port of Nieuwpoort","Spotsampling","Nieuwpoort (B)","Port of Nieuwpoort",2.86036036036036,0.776125984251969,0.206713515885952,"Non-filaments","SC4","opaque","WHITE/CREAM","WHITE/CREAM","films","films","polyethylene",NA,NA,NA
"55",31838,31838,"NP_21_03a","2021-06-28","Port of Nieuwpoort (C)","MAC_S_057","Macroplastics (> 5 mm)","Sediment",NA,0.48519,0,0,NA,0,"Sludge",5,"1899-12-31 10:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Port of Nieuwpoort","Spotsampling","Nieuwpoort (C)","Port of Nieuwpoort",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
"56",31839,31839,"SH_21_04","2021-08-24","River Scheldt (Temse)","MAC_S_058","Macroplastics (> 5 mm)","Sediment",NA,NA,0,0,NA,0,"Sand",5,"1899-12-31 13:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"River Scheldt","Spotsampling","Temse","River Scheldt (Upstream)",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
"57",31840,31840,"SH_21_05","2021-08-25","River Scheldt (Wintam)","MAC_S_059","Macroplastics (> 5 mm)","Sediment",NA,NA,0,0,NA,0,"Sludge+sand",10,"1899-12-31 07:30:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"River Scheldt","Spotsampling","Wintam","River Scheldt (Upstream)",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
"58",31841,31841,"SH_21_07","2021-11-23","River Scheldt (Temse)","MAC_S_061","Macroplastics (> 5 mm)","Sediment",NA,NA,0,0,NA,0,"Sand",5,"1899-12-31 13:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"River Scheldt","Spotsampling","Temse","River Scheldt (Upstream)",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
"59",31842,31842,"SH_21_08","2021-11-24","River Scheldt (Wintam)","MAC_S_062","Macroplastics (> 5 mm)","Sediment",NA,NA,0,0,NA,0,"Sand",10,"1899-12-31 07:30:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"River Scheldt","Spotsampling","Wintam","River Scheldt (Upstream)",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
"60",31843,31843,"SH_21_09a","2021-11-25","River Scheldt (Antwerpen)","MAC_S_063","Macroplastics (> 5 mm)","Sediment",NA,NA,1,NA,NA,NA,"Sand",10,"1899-12-31 07:15:00",NA,NA,"MAC_S_063_1",NA,"Polyethyleen",NA,81.3,25.43,81.3,25.43,"TRANSPARENT","FOIL","River Scheldt","Spotsampling","Antwerp","River Scheldt (Upstream)",3.19701140385372,7.95430381303813,0.174937824689,"Non-filaments","SC6","transparent/translucent","COLOURLESS","COLOURLESS","films","films","polyethylene",NA,NA,NA
"61",31844,31844,"SH_22_01","2022-01-11","River Scheldt (Breskens)","MAC_S_064","Macroplastics (> 5 mm)","Sediment",NA,NA,0,0,NA,0,"Sand",14,"1899-12-31 12:55:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"River Scheldt","Spotsampling","Breskens","River Scheldt (Downstream)",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
"62",31845,31845,"SH_22_01","2022-01-11","River Scheldt (Terneuzen)","MAC_S_065","Macroplastics (> 5 mm)","Sediment",NA,NA,0,0,NA,0,"Sand",27,"1899-12-31 14:30:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"River Scheldt","Spotsampling","Terneuzen","River Scheldt (Downstream)",NA,NA,NA,NA,NA,NA,NA,"UNDEFINED",NA,NA,NA,NA,NA,NA
