"","X.1","X","Code.Campaign","Date","Sampling.Location","Unique.Sample.Identifier","Sample.Type","Matrix","Volume..L.","DW..Sediment..kg.","Particle.count","Total.plastic.mass..kg.","Concentration..g.plastic.L.water.","Concentration..g.plastic.kg.dry.weight.sediment.","Sediment.type","Depth.Sample..m.","T1..START.","T2..STOP.","Tide","Unique.Particle.Identifier","Replicate..sediment.","Polymer","Match","Lenght..mm.","Width..mm.","Maximal.dimension..mm.","Weight..mg.","Color","Shape_obs","Sampling.Area","Type.of.Campaign","Sampling.Location.specific","Sampling.Area.general","LengthWidthratio","estimated.Hight..mm.","CSF","Shape_est","SizeClass","Transpar_NERC","Color_NERC","Color_NERC_Interreg","Shape_NERC","Shape_tot","Polymer_NERC","Diff_Time","T2..STOP..1","Diff_time"
"494",32339,32339,"SH_22_01","2022-01-11","River Scheldt (Wintam)","MAC_W_123","Macroplastics (> 5 mm)","Water",41566.5,NA,91,NA,0.00218926298822369,NA,NA,1,"1899-12-31 20:17:00","1899-12-31 20:27:00",NA,"MAC_W_123_1",NA,"PBMA",86.05,84.05,NA,84.05,317,"WHITE","FOIL","River Scheldt","Spotsampling","Wintam","River Scheldt (Upstream)",NA,NA,NA,NA,"SC6","opaque","WHITE/CREAM","WHITE/CREAM","films","films","polymethylacrylate",10,NA,NA
"495",32340,32340,"SH_22_01","2022-01-11","River Scheldt (Wintam)","MAC_W_123","Macroplastics (> 5 mm)","Water",41566.5,NA,91,NA,0.00218926298822369,NA,NA,1,"1899-12-31 20:17:00","1899-12-31 20:27:00",NA,"MAC_W_123_10",NA,"Polypropyleen",94.41,22.79,NA,22.79,186,"WHITE","HARD PLASTIC","River Scheldt","Spotsampling","Wintam","River Scheldt (Upstream)",NA,NA,NA,NA,"SC5","opaque","WHITE/CREAM","WHITE/CREAM","fragments","fragments","polypropylene",10,NA,NA
"496",32341,32341,"SH_22_01","2022-01-11","River Scheldt (Wintam)","MAC_W_123","Macroplastics (> 5 mm)","Water",41566.5,NA,91,NA,0.00218926298822369,NA,NA,1,"1899-12-31 20:17:00","1899-12-31 20:27:00",NA,"MAC_W_123_11",NA,"Polyethyleen",97.89,12.495,NA,12.495,519,"BLACK","HARD PLASTIC","River Scheldt","Spotsampling","Wintam","River Scheldt (Upstream)",NA,NA,NA,NA,"SC4","opaque","BLACK/GREY","BLACK/GREY","fragments","fragments","polyethylene",10,NA,NA
"497",32342,32342,"SH_22_01","2022-01-11","River Scheldt (Wintam)","MAC_W_123","Macroplastics (> 5 mm)","Water",41566.5,NA,91,NA,0.00218926298822369,NA,NA,1,"1899-12-31 20:17:00","1899-12-31 20:27:00",NA,"MAC_W_123_12",NA,"Polypropyleen",97.39,20.59,NA,20.59,130,"RED","HARD PLASTIC","River Scheldt","Spotsampling","Wintam","River Scheldt (Upstream)",NA,NA,NA,NA,"SC5","opaque","RED","ORANGE/RED/PURPLE/PINK","fragments","fragments","polypropylene",10,NA,NA
"498",32343,32343,"SH_22_01","2022-01-11","River Scheldt (Wintam)","MAC_W_123","Macroplastics (> 5 mm)","Water",41566.5,NA,91,NA,0.00218926298822369,NA,NA,1,"1899-12-31 20:17:00","1899-12-31 20:27:00",NA,"MAC_W_123_13",NA,"Polypropyleen",87.62,13.73,NA,13.73,97,"WHITE","HARD PLASTIC","River Scheldt","Spotsampling","Wintam","River Scheldt (Upstream)",NA,NA,NA,NA,"SC4","opaque","WHITE/CREAM","WHITE/CREAM","fragments","fragments","polypropylene",10,NA,NA
"499",32344,32344,"SH_22_01","2022-01-11","River Scheldt (Wintam)","MAC_W_123","Macroplastics (> 5 mm)","Water",41566.5,NA,91,NA,0.00218926298822369,NA,NA,1,"1899-12-31 20:17:00","1899-12-31 20:27:00",NA,"MAC_W_123_14",NA,"Polyethyleen",98.89,12.83,NA,12.83,122,"WHITE","HARD PLASTIC","River Scheldt","Spotsampling","Wintam","River Scheldt (Upstream)",NA,NA,NA,NA,"SC4","opaque","WHITE/CREAM","WHITE/CREAM","fragments","fragments","polyethylene",10,NA,NA
"500",32345,32345,"SH_22_01","2022-01-11","River Scheldt (Wintam)","MAC_W_123","Macroplastics (> 5 mm)","Water",41566.5,NA,91,NA,0.00218926298822369,NA,NA,1,"1899-12-31 20:17:00","1899-12-31 20:27:00",NA,"MAC_W_123_15",NA,"Polyethyleen",82.93,18.47,NA,18.47,52,"GREEN","HARD PLASTIC","River Scheldt","Spotsampling","Wintam","River Scheldt (Upstream)",NA,NA,NA,NA,"SC5","opaque","GREEN","BLUE/GREEN","fragments","fragments","polyethylene",10,NA,NA
"501",32346,32346,"SH_22_01","2022-01-11","River Scheldt (Wintam)","MAC_W_123","Macroplastics (> 5 mm)","Water",41566.5,NA,91,NA,0.00218926298822369,NA,NA,1,"1899-12-31 20:17:00","1899-12-31 20:27:00",NA,"MAC_W_123_16",NA,"Polypropyleen",92.88,27.73,NA,27.73,NA,"GREEN","FIBER","River Scheldt","Spotsampling","Wintam","River Scheldt (Upstream)",NA,NA,NA,NA,"SC5","opaque","GREEN","BLUE/GREEN","filaments","filaments","polypropylene",10,NA,NA
"502",32347,32347,"SH_22_01","2022-01-11","River Scheldt (Wintam)","MAC_W_123","Macroplastics (> 5 mm)","Water",41566.5,NA,91,NA,0.00218926298822369,NA,NA,1,"1899-12-31 20:17:00","1899-12-31 20:27:00",NA,"MAC_W_123_17",NA,"Polyethyleen",91.32,14.925,NA,14.925,11,"GREEN","FIBER","River Scheldt","Spotsampling","Wintam","River Scheldt (Upstream)",NA,NA,NA,NA,"SC4","opaque","GREEN","BLUE/GREEN","filaments","filaments","polyethylene",10,NA,NA
"503",32348,32348,"SH_22_01","2022-01-11","River Scheldt (Wintam)","MAC_W_123","Macroplastics (> 5 mm)","Water",41566.5,NA,91,NA,0.00218926298822369,NA,NA,1,"1899-12-31 20:17:00","1899-12-31 20:27:00",NA,"MAC_W_123_18",NA,"ND",NA,NA,NA,NA,NA,NA,"PELLET","River Scheldt","Spotsampling","Wintam","River Scheldt (Upstream)",NA,NA,NA,NA,"SC3",NA,NA,"UNDEFINED","pellets","pellets","undefined plastic",10,NA,NA
